day,event_id,machine_partno,machine,problem,fixed_by,fix_detail,issue_dt,finish_dt
17,PAP21B1710250814,M15105,PAP21B,คาวลิงขัดตัวไม่เข้าล็อค,h351821,Manul  คาวริง  แล้วเข้า Step,2025-10-17 08:14:46,2025-10-17 09:00:00
20,BNS162003232346,M08401,BNS16,faul 4 แก้ไ่หาย,้h355773,Manul + Caribet Flange,2023-03-20 23:46:49,2023-03-20 23:58:00
22,BNS162202232129,M13702,BNS16,Remove Carcass ออกไม่ได้,H355773,Manul Carcass,2023-02-22 21:29:46,2023-02-22 21:40:00
20,BNS162005250959,M20001,BNS16,carcass หลุดปลอก,H355773,Manul carcassออก+พบboltล็อคkey หัก ทำการเปลี่ยนให้ใหม่ทั้ง2ข้าง,2025-05-20 09:59:45,2025-05-20 10:45:00
25,BNS162608240214,M15601,BNS16,Fault Bai Durm 34,H355773,Manul carcassออกจาก ATS แก้Fault34,2024-08-26 02:14:00,2024-08-26 02:20:00
19,TCSM172008250259,M18801,TCSM17,centerpart เกย,H355773,Manul center part ลงให้สร้างต่อ,2025-08-20 02:59:05,2025-08-20 03:10:00
21,TCSM172206260611,M05102,TCSM17,Canter Part ไม่หุบ,H355773,Manul center partลง+caribet extensure,2026-06-22 06:11:05,2026-06-22 06:20:00
7,BNS140707231214,M15501,BNS14,ฟ่อแฟรง,H355773,Manul Drum + Caribet Flange,2023-07-07 12:14:39,2023-07-07 12:30:00
9,BNS140912221947,M08201,BNS14,ค้าง step summid,H355773,Manul Drum ออกจาก ATS,2022-12-09 19:47:22,2022-12-09 20:00:00
20,BNS162011231730,M15501,BNS16,FAULt40,H355773,Manul flange caribet flange,2023-11-20 17:30:56,2023-11-20 17:45:00
9,BNS140910231036,M15501,BNS14,fault40 แก้ไม่หาย,H355773,Manul Flange ให้ได้ค่าX3 แล้วแก้ Fault,2023-10-09 10:36:18,2023-10-09 11:00:00
21,BNS142105230824,M06201,BNS14,step summid ค้าง,H355773,Manul Flange ไปที่ค่าX3,2023-05-21 08:24:43,2023-05-21 08:35:00
15,BNS141607230617,M15501,BNS14,ฟ่อ39แก้ไม่หาย,h355773 h355565,Manul Flange ออก + Caribet Flange,2023-07-16 06:17:53,2023-07-16 06:30:00
23,BNS162304251944,M15702,BNS16,Rollring Donw ค้าง,H355773,Manul step summit,2025-04-23 19:44:11,2025-04-23 19:55:00
27,BNS142703261152,M08204,BNS14,Fault 40 Fault on axis Flange Drum Overtravel 504 QF11,H355773,Manul x3 manul เอายางไปstepรีด,2026-03-27 11:52:55,2026-03-27 12:00:00
2,PAP190204251501,M21701,PAP19,เบ่งcarcass,H355773,Manul เบ่งcarcass,2025-04-02 15:01:47,2025-04-02 15:05:00
16,TCSM171609220818,M18801,TCSM17,ลมเติมใม่เต็ม,้h355773,Manul เอายางลง,2022-09-16 08:18:55,2022-09-16 09:00:00
8,TCSM130907240113,M05102,TCSM13,centr partเกย ยางหลุดขอบ,H355773,Manul เอายางออก  check center partcaribet Flange ให้,2024-07-09 01:13:02,2024-07-09 01:20:00
17,TCSM171712232210,M18801,TCSM17,เซนเตอร์พาสเกย เซกเตอร์3,H355773,Manul แผ่นcenter  part ลงแล้วขึ่นใหม่,2023-12-17 22:10:17,2023-12-17 22:20:00
8,PAP180806230939,M20101,PAP18,drum หุบข้างเดียว,้h354217,Manul คาวลิง ออก,2023-06-08 09:39:23,2023-06-08 10:00:00
17,BNS141712251752,M08201,BNS14,Summid Faulst,H355773,Manul บีบยางให้ได้x3 caribrt Flange,2025-12-17 17:52:05,2025-12-17 18:00:00
3,BNS160303231734,M13702,BNS16,ยางออกไม่ได้,H355773,Manul ยางออก + Caribet Flange,2023-03-03 17:34:03,2023-03-03 17:40:00
18,TCSM171812250949,M18801,TCSM17,Exsansor ค้าง,H355773,Manul ยางออก caribet  extensure,2025-12-18 09:49:06,2025-12-18 10:00:00
5,BNS140506230940,M15501,BNS14,faluts ATS,H355773,Manul ยางออกจาก ATS,2023-06-05 09:40:15,2023-06-05 09:55:00
6,BNS160603230716,M13702,BNS16,ATS ซัมมิสเอง,H355773,Manul ออก,2023-03-06 07:16:32,2023-03-06 07:20:00
8,PAP200807230831,M01103,PAP20,Drumหุบไม่สุด,H355565,Manul ออก,2023-07-08 08:31:14,2023-07-08 08:40:00
29,BNS142907231321,M06201,BNS14,summidปลอกไม่ออก,H355773,Manul ออก,2023-07-29 13:21:39,2023-07-29 13:40:00
13,BNS141306230734,M15501,BNS14,Summid แก้ไม่หาย,H355773,Manul ออก + caribet Flange,2023-06-13 07:34:14,2023-06-13 07:45:00
29,BNS163005230012,M15601,BNS16, follow ยางเบ่งแล้ว 2 เส้น,H353350,Manula เบ่งให้ใหม่ครับ,2023-05-30 00:12:00,2023-05-30 01:00:00
11,BNS161207240620,M20001,BNS16,FAULT SAMMIS,H355773,Manulเอายางออก ให้สร้างใหม่,2024-07-12 06:20:03,2024-07-12 06:35:00
23,BNS162307240802,M18201,BNS16,"fault Batti durm rollingdown post
คานริเบท Durm",H355773,Manulยางออก ให้สร้างใหม่,2024-07-23 08:02:13,2024-07-23 08:10:00
18,TCSM171804262203,M18801,TCSM17,เชนเตอพากเกย,h351821,Manun   เติมลม หุบ แล้วกางใหม่,2026-04-18 22:03:31,2026-04-18 22:30:00
4,BNS190407241412,M18801,BNS19,Check Perssure Drum,h351821,Manun  perssure  ให้รีดยางได้,2024-07-04 14:12:26,2024-07-04 14:30:00
7,TCSM170712251559,M18801,TCSM17,faults แก้ไม่หาย,h351821,Manun  ยางออกแล้ว Calibat  Extencer,2025-12-07 15:59:46,2025-12-07 16:10:00
5,TCSM170605260610,M18801,TCSM17,เซนเตอพาคเกย,h351821,Manun เติมลม หุบ Centerpart   แล้ว กางใหม่,2026-05-06 06:10:54,2026-05-06 06:30:00
3,BNS160303240746,M20001,BNS16,Carcass off centering,h355622,"Mark Carcass off center มาจาก PAP

Action : ทำการ Mark Carcass ใหม่ นำCarcass มาเบ่ง และเจะดู Center ว่า Off ไหม",2024-03-03 07:46:11,2024-03-04 09:00:00
1,PAP180104252028,M13105,PAP18,laser off ใบมีด,H353362,"Mark ตำแหน่ง post GI  กับ center laserให้ operator ประคองช่วยเวลาปูชิ้นงาน 

ปัญหาเกิดจากPost GI Lock ไม่อยู่ ทำให้ใบมีด off  ตลอด
รอ Sector 4 ซ่อม",2025-04-01 20:28:08,2025-04-01 23:40:00
1,PAP210106230727,M18201,PAP21,drum ไม่หุบเอายางออกไม่ใด้,้h354217,menmunเอายางออกให้,2023-06-01 07:27:42,2023-06-01 07:45:00
5,BNS140503230811,M08201,BNS14,มียาง carcass ที่ off center อยากให้มาเบ่งใหม่,H353350,Mnaual เบ่งให้ใหม่ ( 6 เส้น ) ครับ,2023-03-05 08:11:10,2023-03-05 10:15:00
1,PAP170111230847,M20101,PAP17,MonChong ติด Carcass เวลาเอา Carcass ออก,H355773,"Monchon เกย ตัดstidใหม่
(เริ่ม09:45)",2023-11-01 08:47:15,2023-11-01 10:05:00
3,PAP130310240932,M05102,PAP13,Monchon ชำรุด,H355773,Monchon เกย ตัดstipกลางใหม่,2024-10-03 09:32:34,2024-10-03 10:05:00
28,PAP202811221334,M19501,PAP20,เปลี่ยน monchone,H355773,Monchon เกย+ชำรุด Change ใหม่2ข้าง,2022-11-28 13:34:04,2022-11-28 14:30:00
15,PAP121509220922,M01103,PAP12,Monchon ชำรุด,H355773,Monchon ฉีดขาด เปลี่ยนMonchonใหม่,2022-09-15 09:22:56,2022-09-15 11:30:00
13,PAP191306220953,M21202,PAP19,เปลี่ยนมองชอง,้h351821,Monchon ชำรุด  เปลี่ยนใหม่,2022-06-13 09:53:14,2022-06-13 15:30:00
21,PAP182210220338,M13105,PAP18,Monchone ชำรุด,H355773,Monchon ยืด เปลี่ยนให้ใหม่,2022-10-22 03:38:25,2022-10-22 04:30:00
28,PAP142801242128,M08201,PAP14,monchone เกย,H355773,Monchonชนพอดี  พบปัญหาturnupแล้วโก่งเล็กน้อย followสร้าง,2024-01-28 21:28:09,2024-01-28 21:30:00
28,PAP142801242129,M08201,PAP14,monchone เกย,H355773,Monchonชนพอดี  พบปัญหาturnupแล้วโก่งเล็กน้อย followสร้าง,2024-01-28 21:29:36,2024-01-28 22:10:00
9,PAP190912251700,M20101,PAP19,Monchon เกย,H355773,Monchonด้านR ยืด เปลี่ยนmonchonให้ใหม่ด้านR,2025-12-09 17:00:56,2025-12-09 17:35:00
18,PAP161809250818,M21401,PAP16,เส้นรอบวงก่อนปูGI ติดค่าMin,H355773,Monchonบาง Change Monchon,2025-09-18 08:18:46,2025-09-18 09:40:00
7,BNS210703252256,M15105,BNS21,Conformation OFF Centering,H353350,monitor ตอน drum form มา summit ยังไม่ได้ปรับอะไร * หายไปเอง * ครับ,2025-03-07 22:56:00,2025-03-07 23:25:00
4,BNS140510230122,M15501,BNS14,ลมเติมเข้าMSDตลอด,h355622,"MSB ไม่ตั้ง ปรับ time open MSB จาก1000เป็น8000

MSB หุบไม่สุด ปรับ Flang pressure zone o
จาก 250เป็น 0",2023-10-05 01:22:40,2023-10-05 01:00:00
31,BNS183107251636,M19501,BNS18,ตำแหน่ง 0 ไม่ตรง,H53350,New calibrate drum rotation,2025-07-31 16:36:46,2025-07-31 17:00:00
7,BNS160705251336,M13702,BNS16,BDR บล็อกลม,H353350,new calibrate flange * flange value X3 + 3 mm. * ครับ,2025-05-07 13:36:29,2025-05-07 14:00:00
8,TCSM170807252119,M18801,TCSM17,"แจ้งให้QO ช่วยปรับลม Exsenser finger ด้านAR 
เนื่องจากมีลมรั่วขอบBead",H353350,New find tune parameter ครับ,2025-07-08 21:19:28,2025-07-08 22:00:00
16,B51705260402,,B5,(115)ตีbeadแล้วdrumยุบ,H353362,Nut lock shaft และ  bolt คอ drum คลายตัว ทำการ fixed ให้ใหม่,2026-05-17 04:02:34,2026-05-17 04:50:00
18,B61803231522,,B6,follow Side stitcher / Bead,aum,ok,2023-03-18 15:22:29,2023-05-31 15:00:00
19,BNS191912241545,M19501,BNS19,GCO ไม่เหนียว ขอเพิ่ม Step Auto Spary ก่อนปู GCO,h355622,OP swap ช่วย เพิ่มไม่ได้เนื่องจากไม่มี Step Auto spray,2024-12-19 15:45:52,2024-12-19 16:00:00
4,PAP200404250803,M18801,PAP20,RNCหลุดค่าisolate,h355622,OP เลือก PN ผิด,2025-04-04 08:03:11,2025-04-04 07:30:00
18,B61806251114,,B6,B5 16x4.4 (674) Bead Set ด้าน L ไม่ถึงขอนดรัม,h351821,OP. เปิดปิดเครื่อง,2025-06-18 11:14:23,2025-06-18 12:30:00
29,TCSM113003260314,M01103,TCSM11,step รีด BDR ค้างไม่รีด,H353362,Operator เปิดงานผิด ให้แจ้ง sector 4,2026-03-30 03:14:00,2026-03-30 03:15:00
19,TCSM122005250453,M01103,TCSM12,สเต็ปเบ่งยาง erorr,H353362,"Operator เผลอไปตัด safety step pre conform
จึงเอายางออกมาพักไว้ แล้วสร้างเส้นใหม่",2025-05-20 04:53:40,2025-05-20 05:10:00
12,PAP161202231136,M15702,PAP16,ยิงยางออกไม่ได้,H353350,Operator ยิงผิด barcode ไปยิง barcode part number ( ทำการ training ให้ใหม่ ) ครับ,2023-02-12 11:36:46,2023-02-12 11:50:00
12,BNS161202231042,M15702,BNS16,ยิงยาไม่ไ้ด้,H353350,Operator ยิงผิดยิง barcode S/N ก่อนจึงทำให้ยิงไม่ได้ ( ทำการ training ให้ใหม่ ) ครับ,2023-02-12 10:42:35,2023-02-12 11:00:00
9,BNS140903241849,M15501,BNS14,ยิงยางแล้วแดง,h355622,"pap ไม่ได้ ยิงCarcass เข้าระบบ
Action: ให้ operator Pap กับไปยิงมาให้เข้าระบบ
เพื่อที่ BNS จะได้สร้าง Bandage ได้",2024-03-09 18:49:26,2024-03-10 19:00:00
10,BNS141003231322,M08201,BNS14,รางBDRเสียงดัง,H355773,Past ปกติ ให้ O/P แจ้ง S.4,2023-03-10 13:22:05,2023-03-10 13:40:00
15,TCSM111508241340,M01103,TCSM11,Extensor ไม่Move,h354217,Pin Drum ขาด /เปลี่ยนPiN Drum ใหม่,2024-08-15 13:40:00,2024-08-15 14:40:00
28,BNS182806231618,M13105,BNS18,ค่าx0 กับx3 off,H353350,Power app error ให้ Operator ลงข้อมูลอีกครั้งครับ,2023-06-28 16:18:38,2023-06-28 16:30:00
24,BNS142409221905,M15501,BNS14,เส้นสี bdr ตกร่อง,H353350,"Pressure zone3 กดหนักเกินไปและ Axis Y zone3 เข้ามาเยอะเกินไปจึงทำให้ดันเส้นสีเละลงไปในร่อง BDR
การแก้ไข
1.ปรับ Pressure ลดลงจาก 1200=>1100
2.ปรันแกน Y จาก 2200=>2500
3.ปรับสปีดแกน X จาก 3=>5
ครับ",2022-09-24 19:05:15,2022-09-24 20:05:00
11,PAP181106241734,M19501,PAP18,B/D Turn UP R ขึ้นไม่สุด Step,H353362,Push b/d ด้าน R รั่ว ปะให้ใหม่,2024-06-11 17:34:00,2024-06-11 18:20:00
13,PAP171301262331,M18801,PAP17,B/D ด้าน R เทรินเข้าไม่สุด,H353362,Push b/d รั่วด้าน R เปลี่ยนให้ใหม่,2026-01-13 23:31:55,2026-01-14 00:29:00
22,PAP202207241659,M19001,PAP20,pulh  bladder  รั่วด้าน AR,h351821,Push bladder  leak    AR,2024-07-22 16:59:54,2024-07-22 17:50:00
12,PAP121207231409,M42201,PAP12,pulsh  B/D ไม่ขึ้น,h351821,Push ขึ้นช้า  แจ้ง QO  แก้ใข เวลา,2023-07-12 14:09:52,2023-07-12 14:30:00
28,PAP172807241114,M20101,PAP17,B/D ด้าน AR รั่ว,h351821,Push. B/D. AR. รั่ว  ใช้ยางปะ,2024-07-28 11:14:13,2024-07-28 11:50:00
21,TCSM112110251436,M01103,TCSM11,TCSM11 ค่า Development BA สูงหลังCure ===>>> Qo ให้Setter มาปรับหัวrobot,h351821,QO  เทพให้ปรับหัว Robot เข้า,2025-10-21 14:36:42,2025-10-21 14:45:00
7,TCSM130708251632,M05102,TCSM13,ปรับเส้นรอบวง,H353362,QO  แจ้งให้ปรับเส้นรอบวง gcs ลง 2 mm.,2025-08-07 16:32:21,2025-08-07 17:00:00
4,PAP190509240025,M20101,PAP19,ค่า RNC ไม่ได้สเปค,h351821,QO  แจ้งปรับค่า  ET  หั้ยติดลบ,2024-09-05 00:25:24,2024-09-05 00:50:00
15,TCSM171501251007,M18801,TCSM17,secter.B.D.Rจอดไม่ตรงsectre,h355622,QO เช็ค Recipe ว่าถุกต้องไหม และ ทำการ Calibres Sector,2025-01-15 10:07:12,2025-01-15 10:00:00
1,BNS160204250104,M20001,BNS16,เปลี่ยนผ้า Sock MSB,H353362,QO แจ้ง ให้ช่วยเปลี่ยน sock msb  Follow  ปัญญา carcass off centering. Step Pre conform,2025-04-02 01:04:33,2025-04-02 01:30:00
4,PAP140405261835,M08201,PAP14,รีดเป็นลม,h354217,Qo แจ้งให้เปลี่ยน Rubber croe ใหม่,2026-05-04 18:35:52,2026-05-04 19:19:00
20,TCSM122010251935,M01103,TCSM12,ปรับ deverlopment GCS,H353362,QO แจ้งให้ปรับเส้นรอบวง gcs ขึ้นอีก 2mm,2025-10-20 19:35:56,2025-10-20 20:00:00
7,BNS140708251531,M08201,BNS14,"ปรับ Development GCS -3 จาก Spec
2197 เป็น 2194",H353362,QO แจ้งให้ปรับเส้นรอบวง gcs ลง 3 mm.,2025-08-07 15:31:32,2025-08-07 16:00:00
14,TCSM121403260717,M12302,TCSM12,off centering post robot,H353362,QO ให้ Geo check drumใหม่ ทุก post อยู่ใน spec  ปรับ extensure ช่วย 2.5 mm follow ยัง off เท่าเดิม จึงให้ QO fine tune parameter ต่อ,2026-03-14 07:17:07,2026-03-14 00:00:00
18,BNS211902250055,M15105,BNS21,เปลี่ยนผ้า sock,h354217,Qo ให้เปลี่ยนSock follow ยางoffcenter,2025-02-19 00:55:02,2025-02-19 01:00:00
25,BNS142506261810,M08201,BNS14,ปรับเส้นรอบวง Development GCS เป็น-2และ BA,h354217,QO ให้ปรับเส้นรอบวงGCS ให้ได้ -3,2026-06-25 18:10:42,2026-06-25 18:23:00
3,PAP190304250752,M10001,PAP19,ปูชิ้นงาน GI ไม่ตรงตำแหน่งการปู,h355622,"QO ทำการ Calibrate Sector 0 ให้ตรง
(เนื่องจาก Setter ติดประชุมค่ะ)",2025-04-03 07:52:12,2025-04-03 07:50:00
25,BNS202504250759,M19501,BNS20,ค่า)2-3 ติดค่าMax,็H355622,"QO ทำการ Calibrate X0 ใหม่
เนื่องจากค่า X2,3 ติดMax",2025-04-25 07:59:17,2025-04-25 09:10:00
3,BNS210301251149,M15702,BNS21,Carcass off centering,็H355622,"QO ทำการ calibres Flange ใหม่
เนื่องจากหยุดปีใหม่",2025-01-03 11:49:42,2025-01-03 12:00:00
24,PAP21B2404250749,M08201,PAP21B,CBL2 เข้าไม่ได้,h355622,"QO ทำการติดต่อ พี่เมย์ MIS ให้ทำการแก้ไขให้ค่ะ
เนื่องจากเข้าไม่ได้ ทั้ง Server ค่ะ",2025-04-24 07:49:13,2025-04-24 08:00:00
18,PAP21A1810240828,M08201,PAP21A,Turn up พับยับ ด้าน R,H353362,Qo ลด presure,2024-10-18 08:28:28,2024-10-18 09:00:00
9,PAP160908232133,M20001,PAP16,ปรับค่าETใหม่ เนื่องจาค่าRNC บวก5 AR,้h354217,QOใ้ปรับค่าET เข้าอีก1mm,2023-08-09 21:33:18,2023-08-09 21:46:00
9,PAP120908232125,M01103,PAP12,"ปรับค่า A เนื่องจาก ค่า RNC บวกเยอะ 

วัดค่า ET",h354217,QOให้ปรับค่าETเข้าอีก2mm,2023-08-09 21:25:16,2023-08-09 21:34:00
25,BNS202504250835,M19501,BNS20,ค่าX0 บวก2มิล,H355773,Qoไปcaribetให้,2025-04-25 08:35:13,2025-04-25 09:00:00
23,PAP172302241607,M18801,PAP17,Bladder Pushไม่หุบ ทำให้ ฺBladder turn up หุบคาDrum,H355773,Quick  Exhaust Pushตัน เปลี่ยนให้ใหม่ทั้ง2ข้าง,2024-02-23 16:07:51,2024-02-23 16:20:00
10,BNS141005241137,M08201,BNS14,TBL2 Error,h355622,Re Browser TBL2,2024-05-10 11:37:18,2024-05-10 12:00:00
17,PAP171705221922,M05102,PAP17,dfsfds,2248,reerewr,2022-05-17 19:22:40,2022-05-19 20:00:00
26,BNS162606231333,M08401,BNS16,ระบบ TBL2 Error,H353350,Refresh server ใหม่ครับ,2023-06-26 13:33:34,2023-06-26 21:00:00
26,PAP162606231334,M08401,PAP16,TBL 2 Error,H353350,Refresh server ใหม่ครับ,2023-06-26 13:34:15,2023-06-26 21:00:00
26,PAP172606231336,M18801,PAP17,"TBL 2
error ยิงยางออกไม่ได้",H353350,Refresh server ใหม่ครับ,2023-06-26 13:36:10,2023-06-26 00:00:00
28,BNS162806230742,M08401,BNS16,ยิงยางไม่เข้า TBL2,H353350,Refresh server ใหม่ครับ,2023-06-28 07:42:54,2023-06-28 13:25:00
28,PAP172806230730,M18801,PAP17,TBL2ใช้ไม่ได้,H353350,Refresh server ใหม่ครับ,2023-06-28 07:30:24,2023-06-28 13:25:00
28,PAP142909230351,M08201,PAP14,ยิงชิ้นงานไม่เข้า,H353350,Researt server ใหม่ครับ,2023-09-29 03:51:32,2023-09-29 08:00:00
17,BNS161705221834,M13301,BNS16,CQ เยอะ,H32222,Reset,2022-05-17 18:34:45,2022-05-17 19:00:00
30,PAP173011231610,M18801,PAP17,TBL 2 ยิงชิ้นงานไม่ได้,H353350,Reset servers ใหม่ครับ,2023-11-30 16:10:13,2023-12-30 17:00:00
28,PAP142909230343,M08201,PAP14,TBL2 Error,H353350,Restart server ใหม่ครับ,2023-09-29 03:43:32,2023-09-29 08:00:00
4,PAP140403251109,M15501,PAP14,Weight OQD ไม่ตรงกับ Weight Spec,H353350,Review target weight ให้ใหม่ครับ,2025-03-04 11:09:11,2025-03-04 12:00:00
30,BNS193007240749,M16006,BNS19,ค่า X ไม่ตรง,H353350,"Review value X2,3 position ใหม่ครับ ( นื่อจากมีการเปลี่ยน flange )",2024-07-30 07:49:27,2024-07-30 08:00:00
31,BNS183107242011,M19501,BNS18,ค่าx2ไม่ได้ +4m.m,H353350,Review ค่า X position ใหม่ให้เหมาะสมกับหน้างานครับ,2024-07-31 20:11:35,2024-07-31 21:00:00
23,PAP112308230807,M01103,PAP11,สไปเซอรดึงไม่ติด,H355773,Roller ขัด ล้างให้ใหม่,2023-08-23 08:07:29,2023-08-23 08:25:00
12,PAP131209240917,M01103,PAP13,Splicer ดึงไม่ติด,H355773,Rollerลูกบนชำรุด เปลี่ยนให้ใหม่,2024-09-12 09:17:51,2024-09-12 09:24:00
22,PAP132309250144,M05102,PAP13,ตัวรีดด้านARโยก,็H355622,"Rolling down  คอน
1. ทำการแจ้ง Setter เปลี่ยน Rubber call ให้ใหม่
2. และฟิกน๊อตให้แน้น",2025-09-23 01:44:07,2025-09-23 02:00:00
10,BNS141010231530,M15501,BNS14,rolldonwรีดเส้นสีBDRหาย,h355622,Rolling error,2023-10-10 15:30:58,2023-10-10 15:30:00
9,PAP140901252317,M08201,PAP14,ตัวรีดหลุด,h354256,Rubber core ชำรุด  เปลี่ยน Rubbr coreใหม่,2025-01-09 23:17:28,2025-01-09 23:50:00
8,PAP130809230902,M05102,PAP13,Rolldown รีดชิ้นงานพับยับ,h354217,Rubbercoru เปลี่ยนใหม่2ด้าน,2023-09-08 09:02:24,2023-09-08 09:15:00
16,RZB51601251549,M01103,RZB5,RZB5โหลดsizeM01103ไม่ได้,h355622,s.4 ทำการแก้ไข,2025-01-16 15:49:19,2025-01-16 16:00:00
2,PAP170309240047,M18801,PAP17,ปีก BDR รีดไม่ลง,H353794,S4 online program,2024-09-03 00:47:06,2024-09-05 07:00:00
21,TCSM172212230404,M18801,TCSM17,Post  Dxy Bxy  พัง,H353794,s4 เข้าทำการแก้ไข,2023-12-22 04:04:29,2023-12-23 00:00:00
1,PAP21B0203250316,M08201,PAP21B, Safety Cabon แตก,h351821,"Safety  cabon ,ลูก  push แตก  AR",2025-03-02 03:16:16,2025-03-02 03:35:00
28,PAP21B0103250625,M08201,PAP21B,Safety Cabon แตก,h351821,Safety cabon ลูก Push  แตก  AR,2025-03-01 06:25:47,2025-03-01 06:45:00
24,PAP142402232232,M15501,PAP14,B/D เทริน ไม่ขึ้น,้h354217,safety Cabonแตก เปลี่ยนใหม่,2023-02-24 22:32:29,2023-02-24 22:48:00
27,PAP212809220041,M08201,PAP21,แผ่นเซฟตี้คาร์บอนแตก,H355773,Safety Carbon Bladder Push แตก เปลี่ยนให้ใหม่,2022-09-28 00:41:23,2022-09-27 00:50:00
26,PAP202709220014,M08201,PAP20,แผ่น carbon  Bladder ด้าน AR แตก,H355773,Safety Carbon Bladder Push แตก เปลี่ยนใหม่,2022-09-27 00:14:08,2022-09-26 01:30:00
30,PAP140107230146,M08201,PAP14,B/Dรั่ว,H355773,Safety Carbon แตก,2023-07-01 01:46:59,2023-07-01 02:00:00
18,PAP21B1904250212,M08201,PAP21B,B/D ด้าน AR รั่ว,H355773,Safety carbonแตก ด้านAR Push+เปลี่ยนcar bonใหม่,2025-04-19 02:12:22,2025-04-19 02:20:00
24,BNS142401242336,M08201,BNS14,Summidค้าง,H355773,Safety ค้าง,2024-01-24 23:36:38,2024-01-24 23:55:00
29,BNS162901250817,M13301,BNS16,Fault BA ตัวจับ BA ไม่เช็ค,h351821,Sec#4นำRoller ไปเก็บ จึงแจ้งให้นำมาเปลี่ยน,2025-01-29 08:17:17,2025-01-29 09:00:00
22,B62207241907,,B6,ปรับ Set ไฟ Laser Guide Liht Off canter,h351821,Sector  4  แก้ใข,2024-07-22 19:07:20,2024-07-22 20:00:00
30,TCSM123009242038,M01103,TCSM12,Rolling down ขูด ฐานรีดร่องBDR,H353362,Sector4 caribret rolldown แกน Y ใหม่ เนื่องจาก ถอยไม่ถึง plox home,2024-09-30 20:38:48,2024-09-30 21:40:00
28,TCSM132809222053,M05102,TCSM13,follow rolling down,H353350,"Sector4 request ให้มาช่วย follow rolling down ( axis Y zone1-4 not move )
New adjust parameter axis Y zone1-4
zone1 form 5 to 7
zone2 form 5 to 7
zone3 form 2 to 5
zone4 form 2 to 4
ครับ",2022-09-28 20:53:57,2022-09-28 22:45:00
20,TCSM172009232134,M18801,TCSM17,ดั้มหุบ 1ข้าง สเต็ปปูBAจบ,H353362,Sector4 เป็นคนแก้ไข,2023-09-20 21:34:05,2023-09-20 22:00:00
16,BNS141704250041,M08201,BNS14,Fault แก้ไม่หาย,h355622,Sector4 ทำการแก้ไข,2025-04-17 00:41:59,2025-04-17 00:50:00
20,BNS142009230723,M08201,BNS14,ตัวรีดBDRกดแรง,H353350,Send recipe เข้าไปใหม่ใช้ ver.ก่อนหน้าจะมีการปรับครับ ( Ver.16 ) ความเหนียวของ BDR กลับมาเป็เหมือนเดิม,2023-09-20 07:23:35,2023-09-20 08:00:00
20,BNS142009230825,M08201,BNS14,เปลี่ยนCGLใหม่,H353350,Send recipe เขาไปใหม่ครับ,2023-09-20 08:25:57,2023-09-20 09:00:00
31,BNS193107241431,M19501,BNS19,program หายหลังจากโหลด program ให้มาโหลด recipe ใหม่,H353350,Send recipes เข้าปใหม่และ follow up หลัง send recipe เข้าไปใหม่ครับ,2024-07-31 14:31:24,2024-07-31 15:00:00
27,B62705251552,,B6,size 668 bead ตีไม่ถึงขอบ  Drum,H353362,Set stopper finger ใหม่,2025-05-27 15:52:44,2025-05-27 16:20:00
26,B62611251614,,B6,B6 (708) set undre ใหม่,h351821,Set under ใหม่พร้อมก๊อปปี้  เข้าทำ17.00  น.,2025-11-26 16:14:39,2025-11-26 17:30:00
21,B72104262320,,B7,sideรีดไม่สุด ขูดขอบ,H353362,Set up side stitcher ใหม่   และ follow สร้าง 4เส้น,2026-04-21 23:20:17,2026-04-22 01:00:00
4,PAP120406251855,M42203,PAP12,ไฟเลเซอร์ออฟ,h354217,set up ให้ใหม่,2025-06-04 18:55:08,2025-06-04 19:00:00
25,B62511251018,,B6,understitcher ขึ้นไม่ตรงกลางdrum,h352944,set Up ระยะ Screw  center Under Stitcher ให้ใหม่,2025-11-25 10:18:00,2025-11-25 11:00:00
18,B61803251520,,B6,"B6 24x7.7 (914) Follow CQ13.1
 Step Bead Set / Trun up",h352944,Set up ระยะ Stopper Finger Side AR จาก 30mm เป็น 27mm,2025-03-18 15:20:16,2025-03-18 19:30:00
19,B71909241004,,B7,Bead ตีไม่ติด,H353362,Set ระยะ ตี bead ปรับ lead swith cylander bead set. ด้าน L,2024-09-19 10:04:19,2024-09-19 11:30:00
20,B72101230504,,B7,ตีบีทไม่ติด,H353362,Set ระยะใหม่,2023-01-21 05:04:16,2023-01-21 05:15:00
8,B70807261621,,B7,side รีดหลุดขอบ,H353362,Set ระยะรีด side stitcher ใหม่,2026-07-08 16:21:28,2026-07-08 17:00:00
28,B52803250822,,B5,side sittcher แลัวยับ,H353362,Set ระยะรีด side stitcher ใหม่,2025-03-28 08:22:36,2025-03-28 10:00:00
2,B50208221631,,B5,side stitcher รีดขอบยับและbeadตีไม่ถึง,H353362,Set ระยะรีด side stticher + under  sticher และระยะดี bead ใหม่,2022-08-02 16:31:31,2022-08-02 17:30:00
11,PAP181106222147,M13105,PAP18,bladder หุบคา drum ด้าน R ทำให้block ลม,H353350,Setter balance flow B/D ใหม่,2022-06-11 21:47:16,2022-06-11 22:15:00
19,PAP201910231558,M21701,PAP20,turn upยับ,้355622,Setter เปลี่ยน Bladder ใหม่,2023-10-19 15:58:28,2023-10-19 22:00:00
